Gene,Pathway
SH3GLB1,Pathway_1
SNX3,Pathway_2
ARAP1,Pathway_3
NRGN,Pathway_4
UQCRQ,Pathway_5
GRB2,Pathway_6
GSPT1,Pathway_7
IQSEC1,Pathway_8
PSMA6,Pathway_9
SFPQ,Pathway_10
PLBD1,Pathway_11
ECH1,Pathway_12
DYNLT1,Pathway_13
LAPTM4A,Pathway_14
CLEC2B,Pathway_15
ABRACL,Pathway_16
OASL,Pathway_17
SPG21,Pathway_18
SP3,Pathway_19
RIN3,Pathway_20
CD7,Pathway_21
MMP24OS,Pathway_22
MYD88,Pathway_23
PHLDA2,Pathway_24
LGALS3BP,Pathway_25
SSU72,Pathway_26
SMG1,Pathway_27
CD14,Pathway_28
VAPA,Pathway_29
OGFR,Pathway_30
WTAP,Pathway_31
NDUFB11,Pathway_32
ROMO1,Pathway_33
HEBP2,Pathway_34
CD36,Pathway_35
GTF3A,Pathway_36
CTNNB1,Pathway_37
NR4A1,Pathway_38
MTMR14,Pathway_39
ATP5MC2,Pathway_40
TMEM205,Pathway_41
ODF3B,Pathway_42
SERPING1,Pathway_43
KIF2A,Pathway_44
SRRM2,Pathway_45
MPP1,Pathway_46
THBD,Pathway_47
UBE2D1,Pathway_48
GLTP,Pathway_49
TREM1,Pathway_50
HLA-F,Pathway_1
VSIR,Pathway_2
RBM39,Pathway_3
TOMM6,Pathway_4
MOB1A,Pathway_5
CLEC12A,Pathway_6
SMAD3,Pathway_7
RPL3,Pathway_8
OSBPL8,Pathway_9
TAF10,Pathway_10
POU2F2,Pathway_11
RNF130,Pathway_12
HK3,Pathway_13
RNMT,Pathway_14
ALDH2,Pathway_15
PSME2,Pathway_16
STK4,Pathway_17
PLXNB2,Pathway_18
PSMB6,Pathway_19
NUMB,Pathway_20
UQCRH,Pathway_21
CD99,Pathway_22
BTG2,Pathway_23
NXF1,Pathway_24
DDOST,Pathway_25
AC015912.3,Pathway_26
MAP3K3,Pathway_27
RBIS,Pathway_28
CAST,Pathway_29
ATF4,Pathway_30
DOK2,Pathway_31
KDELR2,Pathway_32
POLR1D,Pathway_33
AOAH,Pathway_34
COPE,Pathway_35
RPL18A,Pathway_36
IGHM,Pathway_37
SDF4,Pathway_38
TSC22D3,Pathway_39
RPS8,Pathway_40
RHOQ,Pathway_41
TXNDC17,Pathway_42
ANAPC11,Pathway_43
TSPO,Pathway_44
EIF2AK2,Pathway_45
LGALS9,Pathway_46
EIF3D,Pathway_47
EIF2S3,Pathway_48
RPS12,Pathway_49
PRKCH,Pathway_50
